,chr1,x1,x2,Label
0,1,7295000,7710000,Inactive
1,1,7710000,7712500,Boundary-Inactive
2,1,7712500,7715000,Boundary-Inactive
3,1,7715000,8010000,Inactive
4,1,8010000,8020000,Boundary-Inactive
5,1,8020000,8030000,Boundary-Inactive
6,1,8030000,8410000,Inactive
7,1,8410000,8510000,Boundary-Inactive
8,1,9070000,9170000,Boundary-Mixed
9,1,9170000,9295000,Mixed
10,1,9295000,9312500,Boundary-Mixed
11,1,9312500,9330000,Boundary-Inactive
12,1,9330000,9550000,Inactive
13,1,9550000,9650000,Boundary-Inactive
14,1,10975000,11075000,Boundary-Active
15,1,11075000,11330000,Active
16,1,11330000,11345000,Boundary-Active
17,1,11345000,11360000,Boundary-Inactive
18,1,11360000,11705000,Inactive
19,1,11705000,11805000,Boundary-Inactive
20,1,15350000,15450000,Boundary-Mixed
21,1,15450000,15610000,Mixed
22,1,15610000,15710000,Boundary-Mixed
23,1,15750000,15850000,Boundary-Active
24,1,15850000,16085000,Active
25,1,16085000,16100000,Boundary-Active
26,1,16100000,16115000,Boundary-Mixed
27,1,16115000,16335000,Mixed
28,1,16335000,16435000,Boundary-Mixed
29,1,19565000,19665000,Boundary-Mixed
30,1,19665000,19985000,Mixed
31,1,19985000,20085000,Boundary-Mixed
32,1,20135000,20235000,Boundary-Inactive
33,1,20235000,20520000,Inactive
34,1,20520000,20530000,Boundary-Inactive
35,1,20530000,20540000,Boundary-Inactive
36,1,20540000,20830000,Inactive
37,1,20830000,20930000,Boundary-Inactive
38,1,21455000,21555000,Boundary-Active
39,1,21555000,21700000,Active
40,1,21700000,21800000,Boundary-Active
41,1,21895000,21995000,Boundary-Inactive
42,1,21995000,22335000,Inactive
43,1,22335000,22387500,Boundary-Inactive
44,1,22387500,22440000,Boundary-Inactive
45,1,22440000,22735000,Inactive
46,1,22735000,22740000,Boundary-Inactive
47,1,22740000,22745000,Boundary-Inactive
48,1,22745000,22980000,Inactive
49,1,22980000,22990000,Boundary-Inactive
50,1,22990000,23000000,Boundary-Inactive
51,1,23000000,23265000,Inactive
52,1,23265000,23365000,Boundary-Inactive
53,1,24425000,24525000,Boundary-Inactive
54,1,24525000,24720000,Inactive
55,1,24720000,24730000,Boundary-Inactive
56,1,24730000,24740000,Boundary-Inactive
57,1,24740000,24965000,Inactive
58,1,24965000,25065000,Boundary-Inactive
59,1,25770000,25870000,Boundary-Inactive
60,1,25870000,26140000,Inactive
61,1,26140000,26145000,Boundary-Inactive
62,1,26145000,26150000,Boundary-Active
63,1,26150000,26350000,Active
64,1,26350000,26357500,Boundary-Active
65,1,26357500,26365000,Boundary-Inactive
66,1,26365000,26775000,Inactive
67,1,26775000,26875000,Boundary-Inactive
68,1,27330000,27430000,Boundary-Mixed
69,1,27430000,27620000,Mixed
70,1,27620000,27720000,Boundary-Mixed
71,1,32010000,32110000,Boundary-Inactive
72,1,32110000,32260000,Inactive
73,1,32260000,32360000,Boundary-Inactive
74,1,32550000,32650000,Boundary-Active
75,1,32650000,32865000,Active
76,1,32865000,32965000,Boundary-Active
77,1,33270000,33370000,Boundary-Mixed
78,1,33370000,33555000,Mixed
79,1,33555000,33572500,Boundary-Mixed
80,1,33572500,33590000,Boundary-Mixed
81,1,33590000,33960000,Mixed
82,1,33960000,34060000,Boundary-Mixed
83,1,35935000,36035000,Boundary-Inactive
84,1,36035000,36245000,Inactive
85,1,36245000,36290000,Boundary-Inactive
86,1,36290000,36335000,Boundary-Active
87,1,36335000,36550000,Active
88,1,36550000,36552500,Boundary-Active
89,1,36552500,36555000,Boundary-Mixed
90,1,36555000,36770000,Mixed
91,1,36770000,36865000,Boundary-Mixed
92,1,36865000,36960000,Boundary-Inactive
93,1,36960000,37910000,Inactive
94,1,37910000,38010000,Boundary-Inactive
95,1,38385000,38485000,Boundary-Inactive
96,1,38485000,39310000,Inactive
97,1,39310000,39315000,Boundary-Inactive
98,1,39315000,39320000,Boundary-Inactive
99,1,39320000,39545000,Inactive
100,1,39545000,39552500,Boundary-Inactive
101,1,39552500,39560000,Boundary-Active
102,1,39560000,39740000,Active
103,1,39740000,39840000,Boundary-Active
104,1,40165000,40265000,Boundary-Mixed
105,1,40265000,40510000,Mixed
106,1,40510000,40522500,Boundary-Mixed
107,1,40522500,40535000,Boundary-Active
108,1,40535000,40900000,Active
109,1,40900000,41000000,Boundary-Active
110,1,41410000,41510000,Boundary-Active
111,1,41510000,41710000,Active
112,1,41710000,41717500,Boundary-Active
113,1,41717500,41725000,Boundary-Inactive
114,1,41725000,41925000,Inactive
115,1,41925000,41992500,Boundary-Inactive
116,1,41992500,42060000,Boundary-Mixed
117,1,42060000,42240000,Mixed
118,1,42240000,42340000,Boundary-Mixed
119,1,42545000,42645000,Boundary-Active
120,1,42645000,42800000,Active
121,1,42800000,42900000,Boundary-Active
122,1,45200000,45300000,Boundary-Mixed
123,1,45300000,45475000,Mixed
124,1,45475000,45477500,Boundary-Mixed
125,1,45477500,45480000,Boundary-Inactive
126,1,45480000,45765000,Inactive
127,1,45765000,45865000,Boundary-Inactive
128,1,46760000,46860000,Boundary-Inactive
129,1,46860000,47020000,Inactive
130,1,47020000,47120000,Boundary-Inactive
131,1,47805000,47905000,Boundary-Inactive
132,1,47905000,48190000,Inactive
133,1,48190000,48290000,Boundary-Inactive
134,1,48455000,48555000,Boundary-Inactive
135,1,48555000,48700000,Inactive
136,1,48700000,48800000,Boundary-Inactive
137,1,52480000,52580000,Boundary-Inactive
138,1,52580000,52800000,Inactive
139,1,52800000,52835000,Boundary-Inactive
140,1,52835000,52870000,Boundary-Active
141,1,52870000,53160000,Active
142,1,53160000,53260000,Boundary-Active
143,1,53830000,53930000,Boundary-Inactive
144,1,53930000,54220000,Inactive
