,chr1,x1,x2,Label
0,1,7345000,7660000,Inactive
1,1,7295000,7345000,Boundary-Inactive
2,1,7660000,7710000,Boundary-Inactive
3,1,7710000,7712500,Boundary-Inactive
4,1,7712500,7715000,Boundary-Inactive
5,1,7765000,7960000,Inactive
6,1,7715000,7765000,Boundary-Inactive
7,1,7960000,8010000,Boundary-Inactive
8,1,8010000,8020000,Boundary-Inactive
9,1,8020000,8030000,Boundary-Inactive
10,1,8080000,8360000,Inactive
11,1,8030000,8080000,Boundary-Inactive
12,1,8360000,8410000,Boundary-Inactive
13,1,8410000,8460000,Boundary-Inactive
14,1,9120000,9170000,Boundary-Mixed
15,1,9220000,9245000,Mixed
16,1,9170000,9220000,Boundary-Mixed
17,1,9245000,9295000,Boundary-Mixed
18,1,9295000,9312500,Boundary-Mixed
19,1,9312500,9330000,Boundary-Inactive
20,1,9380000,9500000,Inactive
21,1,9330000,9380000,Boundary-Inactive
22,1,9500000,9550000,Boundary-Inactive
23,1,9550000,9600000,Boundary-Inactive
24,1,11025000,11075000,Boundary-Active
25,1,11125000,11280000,Active
26,1,11075000,11125000,Boundary-Active
27,1,11280000,11330000,Boundary-Active
28,1,11330000,11345000,Boundary-Active
29,1,11345000,11360000,Boundary-Inactive
30,1,11410000,11655000,Inactive
31,1,11360000,11410000,Boundary-Inactive
32,1,11655000,11705000,Boundary-Inactive
33,1,11705000,11755000,Boundary-Inactive
34,1,15400000,15450000,Boundary-Mixed
35,1,15500000,15560000,Mixed
36,1,15450000,15500000,Boundary-Mixed
37,1,15560000,15610000,Boundary-Mixed
38,1,15610000,15660000,Boundary-Mixed
39,1,15800000,15850000,Boundary-Active
40,1,15900000,16035000,Active
41,1,15850000,15900000,Boundary-Active
42,1,16035000,16085000,Boundary-Active
43,1,16085000,16100000,Boundary-Active
44,1,16100000,16115000,Boundary-Mixed
45,1,16165000,16285000,Mixed
46,1,16115000,16165000,Boundary-Mixed
47,1,16285000,16335000,Boundary-Mixed
48,1,16335000,16385000,Boundary-Mixed
49,1,19615000,19665000,Boundary-Mixed
50,1,19715000,19935000,Mixed
51,1,19665000,19715000,Boundary-Mixed
52,1,19935000,19985000,Boundary-Mixed
53,1,19985000,20035000,Boundary-Mixed
54,1,20185000,20235000,Boundary-Inactive
55,1,20285000,20470000,Inactive
56,1,20235000,20285000,Boundary-Inactive
57,1,20470000,20520000,Boundary-Inactive
58,1,20520000,20530000,Boundary-Inactive
59,1,20530000,20540000,Boundary-Inactive
60,1,20590000,20780000,Inactive
61,1,20540000,20590000,Boundary-Inactive
62,1,20780000,20830000,Boundary-Inactive
63,1,20830000,20880000,Boundary-Inactive
64,1,21505000,21555000,Boundary-Active
65,1,21605000,21650000,Active
66,1,21555000,21605000,Boundary-Active
67,1,21650000,21700000,Boundary-Active
68,1,21700000,21750000,Boundary-Active
69,1,21945000,21995000,Boundary-Inactive
70,1,22045000,22285000,Inactive
71,1,21995000,22045000,Boundary-Inactive
72,1,22285000,22335000,Boundary-Inactive
73,1,22335000,22385000,Boundary-Inactive
74,1,22390000,22440000,Boundary-Inactive
75,1,22490000,22685000,Inactive
76,1,22440000,22490000,Boundary-Inactive
77,1,22685000,22735000,Boundary-Inactive
78,1,22735000,22740000,Boundary-Inactive
79,1,22740000,22745000,Boundary-Inactive
80,1,22795000,22930000,Inactive
81,1,22745000,22795000,Boundary-Inactive
82,1,22930000,22980000,Boundary-Inactive
83,1,22980000,22990000,Boundary-Inactive
84,1,22990000,23000000,Boundary-Inactive
85,1,23050000,23215000,Inactive
86,1,23000000,23050000,Boundary-Inactive
87,1,23215000,23265000,Boundary-Inactive
88,1,23265000,23315000,Boundary-Inactive
89,1,24475000,24525000,Boundary-Inactive
90,1,24575000,24670000,Inactive
91,1,24525000,24575000,Boundary-Inactive
92,1,24670000,24720000,Boundary-Inactive
93,1,24720000,24730000,Boundary-Inactive
94,1,24730000,24740000,Boundary-Inactive
95,1,24790000,24915000,Inactive
96,1,24740000,24790000,Boundary-Inactive
97,1,24915000,24965000,Boundary-Inactive
98,1,24965000,25015000,Boundary-Inactive
99,1,25820000,25870000,Boundary-Inactive
100,1,25920000,26090000,Inactive
101,1,25870000,25920000,Boundary-Inactive
102,1,26090000,26140000,Boundary-Inactive
103,1,26140000,26145000,Boundary-Inactive
104,1,26145000,26150000,Boundary-Active
105,1,26200000,26300000,Active
106,1,26150000,26200000,Boundary-Active
107,1,26300000,26350000,Boundary-Active
108,1,26350000,26357500,Boundary-Active
109,1,26357500,26365000,Boundary-Inactive
110,1,26415000,26725000,Inactive
111,1,26365000,26415000,Boundary-Inactive
112,1,26725000,26775000,Boundary-Inactive
113,1,26775000,26825000,Boundary-Inactive
114,1,27380000,27430000,Boundary-Mixed
115,1,27480000,27570000,Mixed
116,1,27430000,27480000,Boundary-Mixed
117,1,27570000,27620000,Boundary-Mixed
118,1,27620000,27670000,Boundary-Mixed
119,1,32060000,32110000,Boundary-Inactive
120,1,32160000,32210000,Inactive
121,1,32110000,32160000,Boundary-Inactive
122,1,32210000,32260000,Boundary-Inactive
123,1,32260000,32310000,Boundary-Inactive
124,1,32600000,32650000,Boundary-Active
125,1,32700000,32815000,Active
126,1,32650000,32700000,Boundary-Active
127,1,32815000,32865000,Boundary-Active
128,1,32865000,32915000,Boundary-Active
129,1,33320000,33370000,Boundary-Mixed
130,1,33420000,33505000,Mixed
131,1,33370000,33420000,Boundary-Mixed
132,1,33505000,33555000,Boundary-Mixed
133,1,33555000,33572500,Boundary-Mixed
134,1,33572500,33590000,Boundary-Mixed
135,1,33640000,33910000,Mixed
136,1,33590000,33640000,Boundary-Mixed
137,1,33910000,33960000,Boundary-Mixed
138,1,33960000,34010000,Boundary-Mixed
139,1,35985000,36035000,Boundary-Inactive
140,1,36085000,36195000,Inactive
141,1,36035000,36085000,Boundary-Inactive
142,1,36195000,36245000,Boundary-Inactive
143,1,36245000,36290000,Boundary-Inactive
144,1,36290000,36335000,Boundary-Active
145,1,36385000,36500000,Active
146,1,36335000,36385000,Boundary-Active
147,1,36500000,36550000,Boundary-Active
148,1,36550000,36552500,Boundary-Active
149,1,36552500,36555000,Boundary-Mixed
150,1,36605000,36720000,Mixed
151,1,36555000,36605000,Boundary-Mixed
152,1,36720000,36770000,Boundary-Mixed
153,1,36770000,36820000,Boundary-Mixed
154,1,36910000,36960000,Boundary-Inactive
155,1,37010000,37860000,Inactive
156,1,36960000,37010000,Boundary-Inactive
157,1,37860000,37910000,Boundary-Inactive
158,1,37910000,37960000,Boundary-Inactive
159,1,38435000,38485000,Boundary-Inactive
160,1,38535000,39260000,Inactive
161,1,38485000,38535000,Boundary-Inactive
162,1,39260000,39310000,Boundary-Inactive
163,1,39310000,39315000,Boundary-Inactive
164,1,39315000,39320000,Boundary-Inactive
165,1,39370000,39495000,Inactive
166,1,39320000,39370000,Boundary-Inactive
167,1,39495000,39545000,Boundary-Inactive
168,1,39545000,39552500,Boundary-Inactive
169,1,39552500,39560000,Boundary-Active
170,1,39610000,39690000,Active
171,1,39560000,39610000,Boundary-Active
172,1,39690000,39740000,Boundary-Active
173,1,39740000,39790000,Boundary-Active
174,1,40215000,40265000,Boundary-Mixed
175,1,40315000,40460000,Mixed
176,1,40265000,40315000,Boundary-Mixed
177,1,40460000,40510000,Boundary-Mixed
178,1,40510000,40522500,Boundary-Mixed
179,1,40522500,40535000,Boundary-Active
180,1,40585000,40850000,Active
181,1,40535000,40585000,Boundary-Active
182,1,40850000,40900000,Boundary-Active
183,1,40900000,40950000,Boundary-Active
184,1,41460000,41510000,Boundary-Active
185,1,41560000,41660000,Active
186,1,41510000,41560000,Boundary-Active
187,1,41660000,41710000,Boundary-Active
188,1,41710000,41717500,Boundary-Active
189,1,41717500,41725000,Boundary-Inactive
190,1,41775000,41875000,Inactive
191,1,41725000,41775000,Boundary-Inactive
192,1,41875000,41925000,Boundary-Inactive
193,1,41925000,41975000,Boundary-Inactive
194,1,42010000,42060000,Boundary-Mixed
195,1,42110000,42190000,Mixed
196,1,42060000,42110000,Boundary-Mixed
197,1,42190000,42240000,Boundary-Mixed
198,1,42240000,42290000,Boundary-Mixed
199,1,42595000,42645000,Boundary-Active
200,1,42695000,42750000,Active
201,1,42645000,42695000,Boundary-Active
202,1,42750000,42800000,Boundary-Active
203,1,42800000,42850000,Boundary-Active
204,1,45250000,45300000,Boundary-Mixed
205,1,45350000,45425000,Mixed
206,1,45300000,45350000,Boundary-Mixed
207,1,45425000,45475000,Boundary-Mixed
208,1,45475000,45477500,Boundary-Mixed
209,1,45477500,45480000,Boundary-Inactive
210,1,45530000,45715000,Inactive
211,1,45480000,45530000,Boundary-Inactive
212,1,45715000,45765000,Boundary-Inactive
213,1,45765000,45815000,Boundary-Inactive
214,1,46810000,46860000,Boundary-Inactive
215,1,46910000,46970000,Inactive
216,1,46860000,46910000,Boundary-Inactive
217,1,46970000,47020000,Boundary-Inactive
218,1,47020000,47070000,Boundary-Inactive
219,1,47855000,47905000,Boundary-Inactive
220,1,47955000,48140000,Inactive
221,1,47905000,47955000,Boundary-Inactive
222,1,48140000,48190000,Boundary-Inactive
223,1,48190000,48240000,Boundary-Inactive
224,1,48505000,48555000,Boundary-Inactive
225,1,48605000,48650000,Inactive
226,1,48555000,48605000,Boundary-Inactive
227,1,48650000,48700000,Boundary-Inactive
228,1,48700000,48750000,Boundary-Inactive
229,1,52530000,52580000,Boundary-Inactive
230,1,52630000,52750000,Inactive
231,1,52580000,52630000,Boundary-Inactive
232,1,52750000,52800000,Boundary-Inactive
233,1,52800000,52835000,Boundary-Inactive
234,1,52835000,52870000,Boundary-Active
235,1,52920000,53110000,Active
236,1,52870000,52920000,Boundary-Active
237,1,53110000,53160000,Boundary-Active
238,1,53160000,53210000,Boundary-Active
239,1,53880000,53930000,Boundary-Inactive
240,1,53980000,54170000,Inactive
241,1,53930000,53980000,Boundary-Inactive
242,1,54170000,54220000,Boundary-Inactive
243,1,54220000,54255000,Boundary-Inactive
244,1,54255000,54290000,Boundary-Active
245,1,54340000,54470000,Active
246,1,54290000,54340000,Boundary-Active
247,1,54470000,54520000,Boundary-Active
248,1,54520000,54542500,Boundary-Active
249,1,54542500,54565000,Boundary-Mixed
250,1,54615000,54925000,Mixed
251,1,54565000,54615000,Boundary-Mixed
252,1,54925000,54975000,Boundary-Mixed
253,1,54975000,55025000,Boundary-Mixed
254,1,55495000,55545000,Boundary-Active
255,1,55595000,55700000,Active
256,1,55545000,55595000,Boundary-Active
257,1,55700000,55750000,Boundary-Active
258,1,55750000,55800000,Boundary-Active
259,1,62575000,62625000,Boundary-Inactive
260,1,62675000,62835000,Inactive
261,1,62625000,62675000,Boundary-Inactive
262,1,62835000,62885000,Boundary-Inactive
263,1,62885000,62935000,Boundary-Inactive
264,1,64025000,64075000,Boundary-Inactive
265,1,64125000,64680000,Inactive
266,1,64075000,64125000,Boundary-Inactive
267,1,64680000,64730000,Boundary-Inactive
268,1,64730000,64780000,Boundary-Inactive
269,1,65255000,65305000,Boundary-Active
270,1,65355000,65460000,Active
271,1,65305000,65355000,Boundary-Active
272,1,65460000,65510000,Boundary-Active
273,1,65510000,65560000,Boundary-Active
274,1,66660000,66710000,Boundary-Mixed
275,1,66760000,66865000,Mixed
276,1,66710000,66760000,Boundary-Mixed
277,1,66865000,66915000,Boundary-Mixed
278,1,66915000,66942500,Boundary-Mixed
279,1,66942500,66970000,Boundary-Inactive
280,1,67020000,67155000,Inactive
281,1,66970000,67020000,Boundary-Inactive
282,1,67155000,67205000,Boundary-Inactive
283,1,67205000,67255000,Boundary-Inactive
284,1,67630000,67680000,Boundary-Inactive
285,1,67730000,67925000,Inactive
286,1,67680000,67730000,Boundary-Inactive
287,1,67925000,67975000,Boundary-Inactive
288,1,67975000,68025000,Boundary-Inactive
289,1,68265000,68315000,Boundary-Inactive
290,1,68365000,68510000,Inactive
291,1,68315000,68365000,Boundary-Inactive
292,1,68510000,68560000,Boundary-Inactive
293,1,68560000,68570000,Boundary-Inactive
294,1,68570000,68580000,Boundary-Inactive
295,1,68630000,68770000,Inactive
296,1,68580000,68630000,Boundary-Inactive
297,1,68770000,68820000,Boundary-Inactive
298,1,68820000,68870000,Boundary-Inactive
299,1,81960000,82010000,Boundary-Inactive
300,1,82060000,82185000,Inactive
301,1,82010000,82060000,Boundary-Inactive
302,1,82185000,82235000,Boundary-Inactive
303,1,82235000,82285000,Boundary-Inactive
304,1,84590000,84640000,Boundary-Inactive
305,1,84690000,84850000,Inactive
306,1,84640000,84690000,Boundary-Inactive
307,1,84850000,84900000,Boundary-Inactive
308,1,84900000,84950000,Boundary-Inactive
309,1,85190000,85240000,Boundary-Inactive
310,1,85290000,85345000,Inactive
311,1,85240000,85290000,Boundary-Inactive
312,1,85345000,85395000,Boundary-Inactive
313,1,85395000,85445000,Boundary-Inactive
314,1,87540000,87590000,Boundary-Inactive
315,1,87640000,87715000,Inactive
316,1,87590000,87640000,Boundary-Inactive
317,1,87715000,87765000,Boundary-Inactive
318,1,87765000,87815000,Boundary-Inactive
319,1,90045000,90095000,Boundary-Active
320,1,90145000,90185000,Active
321,1,90095000,90145000,Boundary-Active
322,1,90185000,90235000,Boundary-Active
323,1,90235000,90247500,Boundary-Active
324,1,90247500,90260000,Boundary-Active
325,1,90310000,90415000,Active
326,1,90260000,90310000,Boundary-Active
327,1,90415000,90465000,Boundary-Active
328,1,90465000,90515000,Boundary-Active
329,1,92385000,92435000,Boundary-Inactive
330,1,92485000,92670000,Inactive
331,1,92435000,92485000,Boundary-Inactive
332,1,92670000,92720000,Boundary-Inactive
333,1,92720000,92770000,Boundary-Inactive
334,1,93255000,93305000,Boundary-Active
335,1,93355000,93420000,Active
336,1,93305000,93355000,Boundary-Active
337,1,93420000,93470000,Boundary-Active
338,1,93470000,93520000,Boundary-Active
339,1,95260000,95310000,Boundary-Inactive
340,1,95360000,95470000,Inactive
341,1,95310000,95360000,Boundary-Inactive
342,1,95470000,95520000,Boundary-Inactive
343,1,95520000,95570000,Boundary-Inactive
344,1,110275000,110325000,Boundary-Mixed
345,1,110375000,110480000,Mixed
346,1,110325000,110375000,Boundary-Mixed
347,1,110480000,110530000,Boundary-Mixed
348,1,110530000,110580000,Boundary-Mixed
349,1,111950000,112000000,Boundary-Mixed
350,1,112050000,112265000,Mixed
351,1,112000000,112050000,Boundary-Mixed
352,1,112265000,112315000,Boundary-Mixed
353,1,112315000,112365000,Boundary-Mixed
354,1,114470000,114520000,Boundary-Inactive
355,1,114570000,114800000,Inactive
356,1,114520000,114570000,Boundary-Inactive
357,1,114800000,114850000,Boundary-Inactive
358,1,114850000,114900000,Boundary-Inactive
359,1,115645000,115695000,Boundary-Inactive
360,1,115745000,116065000,Inactive
361,1,115695000,115745000,Boundary-Inactive
362,1,116065000,116115000,Boundary-Inactive
363,1,116115000,116165000,Boundary-Inactive
364,1,116285000,116335000,Boundary-Inactive
365,1,116385000,116490000,Inactive
366,1,116335000,116385000,Boundary-Inactive
367,1,116490000,116540000,Boundary-Inactive
