,chr1,x1,x2,chr2,y1,y2,color,f1,f2,f3,f4,f5,H3K36me3,H3K9me3,H3K4me1,H3K4me2,H3K4me3,H3K27me3,H4K20me1,#meqtl,KMeans_State_Labels,#meqtl_pos,#meqtl_neg,domain_size,norm_meqtl_by_size,norm_pos_meqtl_by_size,norm_neg_meqtl_by_size
0,1,36960000,37910000,1,36960000,37910000,"255,255,0",1.8249,0.07969,0.078941,0.94881,0.9231,0.08540854304771528,0.3269202135917181,0.1331879789270454,0.12268068907022026,0.15772155362740248,0.16762227100266905,0.7053035569750029,206,4,71,141,950000,0.06200550395596835,0.02165388637155804,0.04783367257923815
1,1,38485000,39310000,1,38485000,39310000,"255,255,0",1.7513,0.051417,0.07596900000000001,0.96371,0.9104,0.1608914101271408,0.35141530884037714,0.11160896070378873,0.09631969430040987,0.1394040440729689,0.2260645680740424,0.3690008353162187,219,4,122,97,825000,0.07590612002376708,0.04284567529600642,0.03789273955019811
2,1,157140000,157480000,1,157140000,157480000,"255,255,0",1.3679,0.065425,0.061728,0.8434299999999999,0.75692,0.0,0.0,0.1728138111858779,0.2533192047893768,0.7068167420509809,0.27508538049456943,0.0,283,4,90,194,340000,0.2380094194540561,0.07669458511881573,0.183891236052432
3,1,64075000,64730000,1,64075000,64730000,"255,255,0",1.33,0.07409299999999999,0.08251,0.87974,0.74316,0.0,0.0,0.5017262654538287,0.3128517341343313,0.6940636262671139,0.24473778100235585,0.0,301,4,201,189,655000,0.13140497929451678,0.0889110762853243,0.0929948125342668
4,1,110325000,110530000,1,110325000,110530000,"255,255,0",1.5128,0.032783,0.049931,0.8785700000000001,0.92143,0.3721693172858289,0.0,0.2708185773948322,0.1674660227660545,0.2415895933336151,0.4990367109098548,0.7045290030573074,38,0,26,22,205000,0.053004941814124025,0.03674689064771442,0.034586533710640965
5,1,227940000,228150000,1,227940000,228150000,"255,255,0",0.98807,0.042268,0.087689,0.61224,0.6462600000000001,0.16635639503148672,0.4037308561275583,0.2364968356031722,0.179316801827683,0.2395075021371098,0.263774955253895,0.2153845576904249,250,1,228,69,210000,0.3404139433551199,0.31456953642384106,0.10589318600368323
6,1,228790000,229365000,1,228790000,229365000,"255,255,0",1.7672,0.08377799999999999,0.067108,0.94011,0.83454,1.0,0.5687619021928486,0.2118161957617493,0.17023342610908024,0.5158733093418438,0.2377691587902933,0.7048902790209177,284,4,214,195,575000,0.14123330491616934,0.1078318456665707,0.10929618063896228
7,1,180845000,181140000,1,180845000,181140000,"255,255,0",1.6915,0.035441,0.056758,0.88621,0.9023,0.19203056878884048,0.5555125979225548,0.10256323190853024,0.12990262852235426,0.15920234358671706,0.7043607332606869,1.0,222,2,106,122,295000,0.21518777002326356,0.1041082051857672,0.13328339107906484
8,1,93305000,93470000,1,93305000,93470000,"255,255,0",1.6841,0.054183,0.045323,0.90809,0.8345600000000001,1.0,1.0,0.4925845282539605,0.2035361407897638,0.33032002517853204,0.3060791953103335,0.0,197,2,117,127,165000,0.34140423846306206,0.20544852498494884,0.2480607176739773
9,1,150520000,150970000,1,150520000,150970000,"255,255,0",1.1319,0.039474,0.043054,0.62222,0.8819799999999999,0.15137425530901472,0.3454890416004229,0.12665173225044388,0.11930293884905822,0.16765458300240385,0.0,0.6663269432551352,489,2,476,464,450000,0.3107298474945534,0.30647534952170713,0.33231021076324946
10,1,7715000,8010000,1,7715000,8010000,"255,255,0",1.2307,0.045249,0.046286,0.7298899999999999,0.8471299999999999,0.2259701938479939,0.3846141663805013,0.2520952608988853,0.19294385974431352,0.2747044281382876,0.46000649198059707,0.0,528,4,409,335,295000,0.511797939514789,0.4017005275564036,0.36598308206136654
11,1,21555000,21700000,1,21555000,21700000,"255,255,0",1.4793,0.06199,0.043771,0.88095,0.82381,0.31385172428592395,0.0,0.7070681535501653,0.4431792564601705,1.0,0.3381202159464963,1.0,82,2,56,39,145000,0.16170836150552176,0.11189769353733728,0.0866831777481425
12,1,112000000,112315000,1,112000000,112315000,"255,255,0",1.847,0.053837,0.054516,0.91835,0.96472,0.0,0.0,0.484726949857399,0.7042028396309278,0.0,0.3285119214039287,0.0,173,0,71,118,315000,0.15704429920116195,0.06530537159676232,0.12072846326989975
13,1,90260000,90465000,1,90260000,90465000,"255,255,0",1.7961,0.030654,0.066911,0.90714,0.93571,0.0,0.0,1.0,0.7041460492954154,0.0,0.7071067811865475,0.0,72,2,29,67,205000,0.10043041606886656,0.04098691649168147,0.10533171630058842
14,1,214525000,214780000,1,214525000,214780000,"255,255,0",1.2551,0.03738,0.054034000000000006,0.71257,0.87126,0.2545997774538375,1.0,1.0,0.3338079178108049,0.6019609881612913,0.6645343026631947,0.0,325,1,94,237,255000,0.3644431628860695,0.10680431112842488,0.29953417831220885
15,1,39320000,39545000,1,39320000,39545000,"255,255,0",1.1382,0.038684,0.031597,0.87945,0.60277,0.11572055489385012,0.0,0.21870836941078767,0.3588775662107485,0.6621993276012679,0.0,1.0,260,1,149,139,225000,0.33042846768336964,0.19186902133922,0.19909965213832614
16,1,172415000,172700000,1,172415000,172700000,"255,255,0",1.3973,0.043554,0.040869,0.8214299999999999,0.8509899999999999,0.4940136797461381,0.4453023539695903,0.2459688047895848,0.1993670513016964,0.38974692325676,0.31919224987941,1.0,19,4,15,17,285000,0.019063180827886717,0.015249215754618338,0.01922393460631321
17,1,53930000,54220000,1,53930000,54220000,"255,255,0",1.4547,0.038163,0.049484,0.81094,0.8442299999999999,0.20877669569150684,0.3678932579458517,0.35814958108843786,0.25236114318739544,0.2719996530657185,1.0,0.0,288,4,247,214,290000,0.2839756592292089,0.24677437771180635,0.23782307741157044
18,1,182880000,183220000,1,182880000,183220000,"255,255,0",1.4276,0.069814,0.038614,0.87284,0.77422,0.2032805699922588,0.0,0.17007672328603482,0.15606503874972968,0.2376753580419223,0.0,0.0,740,0,705,173,340000,0.6223567858515955,0.6007742500973899,0.1639854836962409
19,1,229385000,229630000,1,229385000,229630000,"255,255,0",1.6376,0.046645,0.05914,0.935,0.825,0.17958673365195188,0.5291091453186844,0.23039571991159946,0.19246901287518267,0.4159492790527903,0.2622806069571295,0.6802030361734422,102,4,99,44,245000,0.11904761904761905,0.11707663197729425,0.057879505393317536
20,1,222910000,223275000,1,222910000,223275000,"255,255,0",1.1194,0.096422,0.058142999999999986,0.56081,0.77553,0.0,0.7069899330024586,1.0,0.30345985727398594,0.65273117764987,0.3599515823223123,0.0,120,1,44,76,365000,0.09401020682245502,0.03492697087907103,0.06710562829536568
21,1,198475000,198665000,1,198475000,198665000,"255,255,0",1.6597,0.034077,0.050553,0.89197,0.91413,0.0,0.3397659709741768,0.1674937232403527,0.14841803724614674,0.2624025101544564,0.0,0.0,0,0,0,0,190000,0.0,0.0,0.0
22,1,62625000,62885000,1,62625000,62885000,"255,255,0",1.461,0.045283,0.04784,0.8772200000000001,0.93343,0.0,0.4327251602531604,0.3828963130743415,0.2252331471992181,0.3765795933646796,0.0,0.0,189,1,67,122,260000,0.20786199095022626,0.07466250636780437,0.15122538603201588
23,1,15450000,15610000,1,15450000,15610000,"255,255,0",1.5938,0.052914,0.041272,0.90234,0.91016,0.7006640599760747,1.0,0.3033521757786941,0.2503330604296789,0.3832393600020367,0.0,0.0,445,0,246,318,160000,0.7952920751633986,0.4454677152317881,0.6405386740331492
24,1,26365000,26775000,1,26365000,26775000,"255,255,0",1.249,0.040822,0.06705,0.65551,0.82535,0.09109959656582113,0.0,0.109247364011518,0.11398715906584625,0.16916630758026202,0.7071017212335848,0.31327485993725995,882,4,747,695,410000,0.6151362984218078,0.5278832175738976,0.5463100211112608
25,1,116670000,117045000,1,116670000,117045000,"255,255,0",1.4786,0.057047,0.066589,0.8940299999999999,0.8598899999999999,0.0,0.22497577091855467,0.1714273657538007,0.2309981555895681,0.33225375836028764,0.3890897467528359,0.0,83,1,12,71,375000,0.06328976034858387,0.009271523178807946,0.06101903007980356
26,1,7295000,7710000,1,7295000,7710000,"255,255,0",0.8127300000000001,0.053374,0.078736,0.48548,0.72358,0.0,0.6692384831389364,0.3460341447211387,0.26718862351596984,1.0,0.27439427745452705,0.0,239,4,102,197,415000,0.16467832112764785,0.07121200031915742,0.1529876411724245
27,1,40535000,40900000,1,40535000,40900000,"255,255,0",1.7296,0.052139,0.061575,0.92868,0.8881399999999999,0.1698110591514128,0.2980162458913017,0.12828800325620174,0.11310775401527468,0.17246302549583306,0.41200706951479216,0.0,302,3,153,191,365000,0.23659235383651175,0.12145060328404245,0.16864703953177426
28,1,169520000,169780000,1,169520000,169780000,"255,255,0",1.4282,0.061327,0.07577,0.76183,0.78846,1.0,0.4684730673392125,0.16389378798485155,0.16209640712176335,0.2654970507781702,0.0,0.0,191,1,187,24,260000,0.21006158873805936,0.20838639836984207,0.02974925626859328
29,1,115695000,116115000,1,115695000,116115000,"255,255,0",0.94303,0.070656,0.06228400000000001,0.69948,0.61479,1.0,0.0,0.3841857155815612,0.3871193127789557,0.5527565282370314,0.2433323567870463,0.0,73,1,50,23,420000,0.049700435729847496,0.03449227373068433,0.01764886433394721
30,1,11360000,11705000,1,11360000,11705000,"255,255,0",1.3245,0.033701,0.046928,0.84454,0.88992,0.4003577959155926,0.3048926127306579,0.3552493952473608,0.2878145565080775,0.4169198904534882,0.3594001899309981,0.0,288,4,220,124,345000,0.2387041773231032,0.18475861407044825,0.11583526836949848
31,1,48555000,48700000,1,48555000,48700000,"255,255,0",1.1062,0.043461,0.062477,0.68095,0.6238100000000001,0.0,0.0,0.0,0.0,0.0,0.4916442762903949,0.0,74,1,64,20,145000,0.14593193599278792,0.12788307832838547,0.044452911665714114
